Epoch,Total Loss,PDE Loss,IC Loss,BC Loss
0,0.22837133705615997,0.014163454063236713,0.2723357677459717,0.0702783614397049
1,0.15321430563926697,0.008698972873389721,0.1781282126903534,0.012515532784163952
2,0.14886879920959473,0.005783104803413153,0.149788036942482,0.0011655592825263739
3,0.10972955822944641,0.006919349543750286,0.10151101648807526,0.0020987549796700478
4,0.12509843707084656,0.010347442701458931,0.1185096874833107,0.0074224574491381645
5,0.11517643183469772,0.012090013362467289,0.11553109437227249,0.01307684276252985
6,0.131228506565094,0.0108189657330513,0.1442931592464447,0.015231961384415627
7,0.1378205120563507,0.007881410419940948,0.15924346446990967,0.014270419254899025
8,0.10736720263957977,0.004467039834707975,0.13431093096733093,0.012110739946365356
9,0.10493730753660202,0.0018107607029378414,0.13171589374542236,0.010346191003918648
10,0.10169769078493118,0.00046075007412582636,0.12640222907066345,0.008217958733439445
11,0.09641829878091812,0.0006602149805985391,0.11674712598323822,0.006886621937155724
12,0.09077492356300354,0.0018116276478394866,0.09993338584899902,0.009401835501194
13,0.12150326371192932,0.003009283449500799,0.12294546514749527,0.011003822088241577
14,0.1261828988790512,0.003545606741681695,0.12217025458812714,0.013547860085964203
15,0.11859916895627975,0.0032497707288712263,0.11220112442970276,0.014143013395369053
16,0.116115041077137,0.002592687960714102,0.111363485455513,0.0138940354809165
17,0.09192909300327301,0.0016808968503028154,0.08887698501348495,0.014878746122121811
18,0.10458968579769135,0.0009893703972920775,0.10683406889438629,0.012480055913329124
19,0.09685906022787094,0.0005025964346714318,0.10737824440002441,0.010601279325783253
20,0.10746156424283981,0.00020213126845192164,0.12881159782409668,0.006664109416306019
21,0.12610699236392975,8.414078183704987e-05,0.15140151977539062,0.0069250850938260555
22,0.10681489109992981,0.00020786937966477126,0.13400782644748688,0.007566611282527447
23,0.10355052351951599,0.000550014607142657,0.12910817563533783,0.0072419168427586555
24,0.09332078695297241,0.0009538978920318186,0.11493444442749023,0.007520241662859917
25,0.0930047407746315,0.0011734329164028168,0.1110195443034172,0.007933984510600567
